ID,Category,Severity,Status,Build,Platform,Screen,Source (EN),Current PT-BR,Issue Description,Suggested PT-BR,Steps to Reproduce,Expected Result,Actual Result
LQA-001,Terminology,Major,Fixed,0.9.14,Windows 11,Inventory,Health Potion,Poção de Saúde,The item name does not follow the approved glossary term used elsewhere in the build.,Poção de Cura,Open Inventory > Consumables and highlight the first healing item.,The approved term Poção de Cura is used consistently.,The item is displayed as Poção de Saúde.
LQA-002,Terminology,Major,Fixed,0.9.14,Windows 11,World Map,Fast Travel,Transporte Rápido,The string conflicts with the approved navigation term used in tutorials and map prompts.,Viagem Rápida,Open the World Map and select an unlocked waypoint.,The action is labelled Viagem Rápida.,The action is labelled Transporte Rápido.
LQA-003,Grammar,Minor,Fixed,0.9.14,Windows 11,Loot Notification,You found 1 coin.,Você encontrou 1 moedas.,The noun does not agree with the singular numeral.,Você encontrou 1 moeda.,Collect a single coin from the tutorial chest.,Singular agreement is used with 1.,The plural form moedas is displayed.
LQA-004,Grammar,Minor,Fixed,0.9.14,Windows 11,Equipment,The legendary sword was equipped.,A espada lendário foi equipada.,The adjective does not agree with the feminine noun espada.,A espada lendária foi equipada.,Equip the legendary sword from the Equipment screen.,Gender agreement is correct.,Lendário is displayed instead of lendária.
LQA-005,Context,Major,Fixed,0.9.14,Windows 11,Pause Menu,Resume,Currículo,The translation uses the noun meaning professional résumé instead of the gameplay action.,Continuar,Pause the game during any playable sequence.,The button resumes gameplay.,The button is labelled Currículo.
LQA-006,Context,Major,Fixed,0.9.14,Windows 11,Social Menu,Party,Festa,"The string refers to the player's adventuring group, not a celebration.",Grupo,Open the Social Menu and navigate to the Party tab.,The tab is labelled Grupo.,The tab is labelled Festa.
LQA-007,UI overflow,Major,Fixed,0.9.14,Windows 11,Settings,Accessibility,Configurações de Acessibilidade,The localized label exceeds the fixed-width tab and overlaps the adjacent icon.,Acessibilidade,Open Settings at 1280 × 720 and select the final tab.,The label fits without clipping or overlap.,The string overlaps the tab icon.
LQA-008,UI overflow,Major,Fixed,0.9.14,Windows 11,Inventory Toast,Not enough inventory space.,Não há espaço suficiente disponível no inventário.,The toast exceeds two lines and is truncated before the final word.,Inventário cheio.,Fill the inventory and attempt to collect another item at 1280 × 720.,The complete warning is visible within the toast.,The final portion of the message is clipped.
LQA-009,Variables,Critical,Retest,0.9.14,Windows 11,Quest Reward,You received {amount} coins.,Você recebeu {quantidade} moedas.,"The protected variable name was translated, so the runtime value is not injected.",Você recebeu {amount} moedas.,Complete the quest A Debt Repaid and view the reward notification.,The numerical reward replaces {amount}.,The literal text {quantidade} appears on screen.
LQA-010,Variables,Critical,Retest,0.9.14,Windows 11,Combat Objective,Defeat {count} enemies.,Derrote os inimigos.,"The quantity variable was removed, preventing the objective from displaying the required target.",Derrote {count} inimigos.,Start the arena challenge Trial by Ash.,The objective displays the required enemy count.,No quantity is shown.
LQA-011,Tags,Critical,Retest,0.9.14,Windows 11,Tutorial,<color=#FFCC00>Hold [E]</color> to interact.,<cor=#FFCC00>Segure [E]</cor> para interagir.,The markup tags were translated and are no longer recognised by the UI parser.,<color=#FFCC00>Segure [E]</color> para interagir.,Approach the first tutorial lever.,The interaction command is highlighted in yellow.,Raw markup is displayed in the tutorial text.
LQA-012,Tags,Major,Fixed,0.9.14,Windows 11,Codex,<b>Weakness:</b> Frost,<b>Fraqueza:<b> Gelo,"The closing bold tag is missing, causing the remaining article to stay bold.",<b>Fraqueza:</b> Gelo,Open Codex > Creatures > Ash Warden.,Only the label Fraqueza is bold.,The entire remaining entry is bold.
LQA-013,Capitalization,Minor,Fixed,0.9.14,Windows 11,Quest Notification,New Quest,nova missão,The notification heading does not follow the approved sentence-case pattern.,Nova missão,Accept the quest The Silent Bell.,The first word of the heading is capitalised.,The heading begins with a lowercase letter.
LQA-014,Capitalization,Minor,Fixed,0.9.14,Windows 11,Character Sheet,Health,PONTOS DE VIDA,The label uses all caps while the interface style guide requires sentence case.,Pontos de vida,Open the Character Sheet.,The label follows sentence case.,The label is displayed in all caps.
LQA-015,Mechanics,Critical,Retest,0.9.14,Windows 11,Skill Description,Deal 25% more damage while below 30% health.,Cause 25% do dano enquanto estiver com menos de 30% de vida.,The localization changes a +25% damage bonus into dealing only 25% of normal damage.,Cause 25% a mais de dano enquanto estiver com menos de 30% dos Pontos de Vida.,Open Skills > Berserker > Final Stand.,The description communicates a 25% increase.,The description implies damage is reduced to 25%.
LQA-016,Mechanics,Critical,Retest,0.9.14,Windows 11,Item Tooltip,Reduces ability cooldowns by 2 seconds.,Reduz a recarga das habilidades para 2 segundos.,The translation changes a two-second reduction into setting every cooldown to two seconds.,Reduz em 2 segundos o tempo de recarga das habilidades.,Inspect the item Clockwork Sigil.,The tooltip describes a reduction of two seconds.,The tooltip states that cooldowns become two seconds.
LQA-017,Punctuation,Minor,Fixed,0.9.14,Windows 11,Quest Summary,Reward: 500 XP,Recompensa 500 XP,The colon separating the label and value is missing.,Recompensa: 500 XP,Open the completed quest summary for The Silent Bell.,The label and value are separated by a colon.,The punctuation is missing.
